﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Change;Excluded;Name;Original;en;es-latam
;;Haven;Alright, don't forget the flags!;Alright, don't forget the flags!;¡Y no olvides las banderas!
;;;Thank you.;Thank you.;Gracias.
;;;Mushroom;Mushroom;Champiñón
;;Mushroom;\etalk[44]Yeah! Yeah!;\etalk[44]Yeah! Yeah!;\etalk[44]¡Yupiyupiyá!
;;;You found an old picture.;You found an old picture.;Encontraste un viejo dibujo.
;;;I found a lot of peace in the park.;I found a lot of peace in the park.;Me siento tan relajado cuando estoy en el parque.
;;;"As a child, I'd explore the different paths
and find relaxing spots.";"As a child, I'd explore the different paths
and find relaxing spots.";"Cuándo era niño, solía explorar cada lugar hasta
encontrar uno tranquilo donde descansar."
;;;It felt exciting, yet it felt right.;It felt exciting, yet it felt right.;"Era tan emocionante, y al mismo tiempo,
satisfactorio."
;;;"I used to imagine there were shadows watching
over me.";"I used to imagine there were shadows watching
over me.";"Solía imaginarme que era observado de lejos
por cierta 'gente sombra'."
;;;"Sometimes, they'd play with me.\!
But most of the time, I was on my own.";"Sometimes, they'd play with me.\!
But most of the time, I was on my own.";"A veces ellas incluso jugaban conmigo.\!
Pero, por lo general, jugaba solo."
;;;"I don't remember where they went, as I grew
older I stopped thinking about them.";"I don't remember where they went, as I grew
older I stopped thinking about them.";"No sé en que momento desaparecieron. Y a medida
que crecí, me fue olvidando de ellas."
;;Mushroom;\etalk[79]Yeah! Yeah!;\etalk[79]Yeah! Yeah!;\etalk[79]¡Yiiipiyipiyupiii!
;;Mushroom;Yeah! Yeah!;Yeah! Yeah!;¡Yujuuu!
;;Mushroom;Yeah, yeah.;Yeah, yeah.;Yay.
;;;Flower Child;Flower Child;Chico Flor
;;Flower Child;"I've been taking care of these little guys for
a while.";"I've been taking care of these little guys for
a while.";"Estoy cuidando de estos chiquitines; son mis amigos."
;;Flower Child;We're all best friends and spend the day together.;We're all best friends and spend the day together.;Decidimos pasar el dia aquí juntos.
;;Flower Child;"The mushrooms are still sleeping, so I've decided
to take a breath of fresh air.";"The mushrooms are still sleeping, so I've decided
to take a breath of fresh air.";"Los hongos aún están durmiendo, así que decidí
tomar un poco de aire fresco."
;;Flower Child;"It can really be refreshing to breathe in deeply,
and feel the wind through your face.";"It can really be refreshing to breathe in deeply,
and feel the wind through your face.";"Respirar profundo y sentir la suave brisa acariciar
tu rostro... ¡Ahh! No hay nada mejor que eso."
;;Flower Child;"Did you know these little guys aren't actually
mushrooms?";"Did you know these little guys aren't actually
mushrooms?";"¿Sabías que estos chiquitines no son en realidad
hongos?"
;;Flower Child;"They're weird creatures.\!
They capture the pure joy of a child.";"They're weird creatures.\!
They capture the pure joy of a child.";"Son criaturitas bastante peculiares.\! Se podría
decir que reflejan la alegría de los niños."
;;Flower Child;"I haven't seen many cats around these fields
before...";"I haven't seen many cats around these fields
before ...";"No he visto muchos gatos por aquí."
;;Flower Child;"The mountain? It's a pretty long journey to get
to the top.";"The mountain? It's a pretty long journey to get
to the top.";"¿La montaña? Es un viaje bastante largo si
quieres llegar a la cima."
;;Flower Child;I've heard only a couple people have made it.;I've heard only a couple people have made it.;Apenas un par de personas lo han logrado.
;;Flower Child;"It's not dangerous or anything, only a few
have attempted the journey.";"It's not dangerous or anything, only a few
have attempted the journey.";"No es que sea peligroso, pero son muy pocos
los que se dan el trabajo de intentarlo."
;;Flower Child;"There's something beautiful about how people
change.";"There's something beautiful about how people
change.";"Hay algo bello en la manera como las personas
van cambiando."
;;Flower Child;I haven't always been the same person.;I haven't always been the same person.;"No soy la misma persona que ayer, y esa
tampoco era la misma que anteayer."
;;Flower Child;"It's strange how people can be so different over
time.";"It's strange how people can be so different over
time.";"Es curioso como es que vamos cambiando con el
paso del tiempo, unos más que otros."
;;Mushroom;\etalk[83]Yeah! Yeah!;\etalk[83]Yeah! Yeah!;\etalk[83]¡Uaju!
;;;The bird is looking at the worm.;The bird is looking at the worm.;El pájaro está observando al gusano.
;;;Worm;Worm;Gusano
;;Worm;hellooooo ...;hellooooo ...;hoolaaa...
;;Worm;hiiiiii ...;hiiiiii ...;hellooo...
;;Worm;how are you ...;how are you ...;¿qué tal...?
;;;...;...;...
;;;Oakley;Oakley;Oakley
;;Oakley;Hello, sir.;Hello, sir.;Buenos días, caballero.
;;Oakley;"I'm afraid I haven't seen you in this town before.
Could I help you with something, sir?";"I'm afraid I haven't seen you in this town before.
Could I help you with something, sir?";"Me temo que es la primera vez que lo veo por aquí.
¿Puedo ayudarle en algo, caballero?"
;;;Where am I?;Where am I?;¿Dónde estoy?
;;;How do I leave?;How do I leave?;¿Cómo salgo de aquí?
;;;(Leave);(Leave);(Irse)
;;Oakley;...\| You are right here.;...\| You are right here.;...\| Está justo aquí.
;;Oakley;"There's no need to put labels to locations, sir.\.
We are all just here.";"There's no need to put labels to locations, sir.\.
We are all just here.";"No todo necesita un nombre, ¿no cree, caballero?\.
Aquí es aquí, sin más."
;;Oakley;Sometimes, it's better to simply ... be.;Sometimes, it's better to simply ... be.;"A veces es mejor tan solo 'estar' que
no estar..."
;;Oakley;Ah, I'm just a humble fellow, sir.;Ah, I'm just a humble fellow, sir.;Soy solamente 'alguien'.
;;Oakley;"I've been here for a very long time, sir.
Longer than I care to admit, perhaps.";"I've been here for a very long time, sir.
Longer than I care to admit, perhaps.";"He estado aquí por muucho tiempo.
Tal vez más de lo que me gustaría admitir."
;;Oakley;"Leave where, sir?
This is all there is.";"Leave where, sir?
This is all there is.";"¿Salir? ¿A dónde?
No existe más que esto."
;;Oakley;"There is nowhere to go, and I don't mean that in
a bad way, sir.";"There is nowhere to go, and I don't mean that in
a bad way, sir.";"No existe ninguna salida, caballero. No me malentienda:
no es que eso sea algo malo."
;;;This is it.;This is it.;"Todo lo que tiene ante sus ojos es
todo lo que hay."
;;Oakley;"Hello, sir.
Could I help you?";"Hello, sir.
Could I help you?";"Buen día, caballero.
¿Puedo serle de ayuda en algo?"
;;Oakley;"You have woken up early this morning.
I wonder what you must be attending to?";"You have woken up early this morning.
I wonder what you must be attending to?";"Parece que hoy se levantó bastante temprano.
Me pregunto adónde se dirige."
;;;Where do I go?;Where do I go?;¿Adónde puedo ir?
;;;Who is Haven?;Who is Haven?;¿Quién es Haven?
;;;I need to get out of here;I need to get out of here;Tengo que salir de aquí.
;;Oakley;"Judging by your backpack, I assume you're
trying to get to school.";"Judging by your backpack, I assume you're
trying to get to school.";"A juzgar por su mochila, asumo que se
dirige a la escuela."
;;Oakley;"The only way I know is to take the bus.\!
It's near the big house, sir.";"The only way I know is to take the bus.\!
It's near the big house, sir.";"La única forma de llegar es tomando el autobús.\!
Su parada se encuentra cerca de la casa grande."
;;Oakley;"Ah, Haven?\!
She has been in these woods for a while now.";"Ah, Haven?\!
She has been in these woods for a while now.";"Oh, ¿Haven?\!
Ella lleva ya un tiempo por aquí."
;;Oakley;"She seems to be a nice girl, sir.
Have you introduced yourself to her?";"She seems to be a nice girl, sir.
Have you introduced yourself to her?";"Parece ser una buena muchacha.
¿Han tenido oportunidad de conversar?"
;;Oakley;I'm telling you, sir. There's no way out of here.;I'm telling you, sir. There's no way out of here.;"Parece que es necesario que se lo repita:
No hay salida de aquí."
;;Oakley;I would know, I've been living here all my life.;I would know, I've been living here all my life.;"De ser ese el caso, yo ya lo sabría.
Llevo toda una vida aquí."
;;Oakley;Another day, another reason to continue.;Another day, another reason to continue.;Un día más, otra razón para continuar.
;;;Why am I here?;Why am I here?;¿Por qué estoy aquí?
;;;I can't continue this;I can't continue this;No puedo seguir así.
;;Oakley;I suppose you go wherever you please.;I suppose you go wherever you please.;"Es libre de ir adonde quiera, por el camino
que usted prefiera."
;;Oakley;The road continues where you feel a need to go.;The road continues where you feel a need to go.;"'Caminante, no hay camino,
se hace camino al andar.'"
;;Oakley;That's the big question, isn't it?;That's the big question, isn't it?;"ESA es la pregunta del millón:\!
¿Por qué estamos aquí?"
;;Oakley;"Why are we all here?\!
What is our purpose?";"Why are we all here?\!
What is our purpose?";"Como yo lo veo, la vida es un constante
aprendizaje"
;;Oakley;"In my eyes, life is a way to learn.\.
Making mistakes and continuing to live.";"In my eyes, life is a way to learn.\.
Making mistakes and continuing to live.";"Triunfas, fracasas... ganas, pierdes...\.
pero nunca dejas de aprender."
;;Oakley;Take your time, young man.;Take your time, young man.;"Los problemas son pasajeros...\.
y no hay mal ni pena que dure cien años."
;;Oakley;"You're not alone, we've all been there.\.
I believe in you.";"You're not alone, we've all been there.\.
I believe in you.";"Sé que puedes hacerlo.\.
La vida es demasiado bella para dejarla apagarse."
;;Oakley;It's such a beautiful day, isn't it?;It's such a beautiful day, isn't it?;Hoy hace un día maravilloso, ¿no lo cree?
;;;I'm scared;I'm scared;Tengo miedo
;;Oakley;I'm sorry to hear that.;I'm sorry to hear that.;Oh, siento mucho oír eso.
;;Oakley;"I hope you find a way to overcome whatever is
scaring you.";"I hope you find a way to overcome whatever is
scaring you.";"Espero que encuentres las fuerzas para
superar aquello que te asusta."
;;;Flower;Flower;Flor
;;Flower;The air is soft.;The air is soft.;El aire está agradable.
;;Flower;The air is cold.;The air is cold.;El aire está frío.
;;Flower;The air is silent.;The air is silent.;El aire está en silencio.
;;Flower;The air is wet.;The air is wet.;El aire está húmedo.
;;Flower;The air is hard.;The air is hard.;El aire está cargado.
;;Flower;The air is light.;The air is light.;El aire está ligero.
;;;A wooden plank.;A wooden plank.;Una tabla de madera.
;;;It seems like the door is locked.;It seems like the door is locked.;Parece que está cerrada con llave.
;;;Are you ready?;Are you ready?;¿Estás listo?
;;;You unlock the door with your key.;You unlock the door with your key.;Abres la puerta con tu llave.
;;;You always told yourself it would be different.;You always told yourself it would be different.;Siempre pensaste que sería diferente.
;;;Someday you would face it all.;Someday you would face it all.;
;;;But you never really wanted to change.;But you never really wanted to change.;
;;;Rot.;Rot.;
;;;"I’m not sure if I’m healed.\!
Maybe I’ll never be.";"I’m not sure if I’m healed.\!
Maybe I’ll never be.";
;;;"But I know I'm not the same as when I entered
this place.";"But I know I'm not the same as when I entered
this place.";
;;;I feel safer now knowing I can change.;I feel safer now knowing I can change.;
;;;For a while, it felt like I didn't have a choice.;For a while, it felt like I didn't have a choice.;
;;;This is who I'm meant to be.;This is who I'm meant to be.;
;;;"But seeing my past again reminded me of who I
once was.";"But seeing my past again reminded me of who I
once was.";
;;;I wanted to live again.;I wanted to live again.;
;;;I want him to change.;I want him to change.;
;;;"Even though I couldn’t face everything, my
perspective has changed.";"Even though I couldn’t face everything, my
perspective has changed.";
;;;Maybe it's impossible to overcome it all.;Maybe it's impossible to overcome it all.;
;;;But it feels good knowing I actually did my best.;But it feels good knowing I actually did my best.;
;;;What will happen to me?;What will happen to me?;
;;;If I'm not real, then what will I be when I return?;If I'm not real, then what will I be when I return?;
;;;What if it feels like dying?;What if it feels like dying?;
;;;I guess I don't have a choice.;I guess I don't have a choice.;
;;;If I don't return, he might never change.;If I don't return, he might never change.;
;;;Some things still hurt too much to look at.;Some things still hurt too much to look at.;
;;;I turned away when I should’ve stayed.;I turned away when I should’ve stayed.;
;;;"I didn’t give up completely.\!
I tried, even when it felt like it wasn’t enough.";"I didn’t give up completely.\!
I tried, even when it felt like it wasn’t enough.";
;;;Parts of me still feel trapped in those memories.;Parts of me still feel trapped in those memories.;
;;;I should probably eat something before going ...;I should probably eat something before going ...;Tal vez debería comer algo antes de marcharme.
;;;A bright lamp.;A bright lamp.;Una lámpara brillante.
;;;Should I call someone?;Should I call someone?;¿Debería llamar a alguien?
;;;I don't remember anyone's number.;I don't remember anyone's number.;Pero no recuerdo ningún número.
;;;There's nothing on TV.;There's nothing on TV.;No hay nada en la pantalla.
;;;I take a bite out of the instant ramen noodles.;I take a bite out of the instant ramen noodles.;Le doy un bocado a los fideos instantáneos.
;;;...\| it tastes dry.;...\| it tastes dry.;...\| sabe seco.
;;;An empty plate.;An empty plate.;Un plato vacío.
;;;I take a bite out of the toast.;I take a bite out of the toast.;Le doy un mordisco a la tostada.
;;;I take a bite out of a chicken nugget.;I take a bite out of a chicken nugget.;Le doy un mordisco al nugget de pollo.
;;;I don't feel like eating.;I don't feel like eating.;No tengo ganas de comer.
;;;I take a sip of the milk.;I take a sip of the milk.;Bebo un sorbo de leche.
;;;I take a bite out of a grape.;I take a bite out of a grape.;Como una uva.
