﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Change;Excluded;Name;Original;en;es-latam
;;Oakley;"Ah, Haven?\!
She has been in these woods for a while now.";"Ah, Haven?\!
She has been in these woods for a while now.";
;;Oakley;"She seems to be a nice girl, sir.
Have you introduced yourself to her?";"She seems to be a nice girl, sir.
Have you introduced yourself to her?";
;;Oakley;I'm telling you, sir. There's no way out of here.;I'm telling you, sir. There's no way out of here.;
;;Oakley;I would know, I've been living here all my life.;I would know, I've been living here all my life.;
;;Oakley;Another day, another reason to continue.;Another day, another reason to continue.;
;;;Why am I here?;Why am I here?;
;;;I can't continue this;I can't continue this;
;;Oakley;I suppose you go wherever you please.;I suppose you go wherever you please.;
;;Oakley;The road continues where you feel a need to go.;The road continues where you feel a need to go.;
;;Oakley;That's the big question, isn't it?;That's the big question, isn't it?;
;;Oakley;"Why are we all here?\!
What is our purpose?";"Why are we all here?\!
What is our purpose?";
;;Oakley;"In my eyes, life is a way to learn.\.
Making mistakes and continuing to live.";"In my eyes, life is a way to learn.\.
Making mistakes and continuing to live.";
;;Oakley;Take your time, young man.;Take your time, young man.;
;;Oakley;"You're not alone, we've all been there.\.
I believe in you.";"You're not alone, we've all been there.\.
I believe in you.";
;;Oakley;It's such a beautiful day, isn't it?;It's such a beautiful day, isn't it?;
;;;I'm scared;I'm scared;
;;Oakley;I'm sorry to hear that.;I'm sorry to hear that.;
;;Oakley;"I hope you find a way to overcome whatever is
scaring you.";"I hope you find a way to overcome whatever is
scaring you.";
;;;Flower;Flower;
;;Flower;The air is soft.;The air is soft.;
;;Flower;The air is cold.;The air is cold.;
;;Flower;The air is silent.;The air is silent.;
;;Flower;The air is wet.;The air is wet.;
;;Flower;The air is hard.;The air is hard.;
;;Flower;The air is light.;The air is light.;
;;;A wooden plank.;A wooden plank.;
;;;It seems like the door is locked.;It seems like the door is locked.;
;;;Are you ready?;Are you ready?;
;;;You unlock the door with your key.;You unlock the door with your key.;
;;;You always told yourself it would be different.;You always told yourself it would be different.;
;;;Someday you would face it all.;Someday you would face it all.;
;;;But you never really wanted to change.;But you never really wanted to change.;
;;;Rot.;Rot.;
;;;"I’m not sure if I’m healed.\!
Maybe I’ll never be.";"I’m not sure if I’m healed.\!
Maybe I’ll never be.";
;;;"But I know I'm not the same as when I entered
this place.";"But I know I'm not the same as when I entered
this place.";
;;;I feel safer now knowing I can change.;I feel safer now knowing I can change.;
;;;For a while, it felt like I didn't have a choice.;For a while, it felt like I didn't have a choice.;
;;;This is who I'm meant to be.;This is who I'm meant to be.;
;;;"But seeing my past again reminded me of who I
once was.";"But seeing my past again reminded me of who I
once was.";
;;;I wanted to live again.;I wanted to live again.;
;;;I want him to change.;I want him to change.;
;;;"Even though I couldn’t face everything, my
perspective has changed.";"Even though I couldn’t face everything, my
perspective has changed.";
;;;Maybe it's impossible to overcome it all.;Maybe it's impossible to overcome it all.;
;;;But it feels good knowing I actually did my best.;But it feels good knowing I actually did my best.;
;;;What will happen to me?;What will happen to me?;
;;;If I'm not real, then what will I be when I return?;If I'm not real, then what will I be when I return?;
;;;What if it feels like dying?;What if it feels like dying?;
;;;I guess I don't have a choice.;I guess I don't have a choice.;
;;;If I don't return, he might never change.;If I don't return, he might never change.;
;;;Some things still hurt too much to look at.;Some things still hurt too much to look at.;
;;;I turned away when I should’ve stayed.;I turned away when I should’ve stayed.;
;;;"I didn’t give up completely.\!
I tried, even when it felt like it wasn’t enough.";"I didn’t give up completely.\!
I tried, even when it felt like it wasn’t enough.";
;;;Parts of me still feel trapped in those memories.;Parts of me still feel trapped in those memories.;
;;;I should probably eat something before going ...;I should probably eat something before going ...;
;;;A bright lamp.;A bright lamp.;
;;;Should I call someone?;Should I call someone?;
;;;I don't remember anyone's number.;I don't remember anyone's number.;
;;;There's nothing on TV.;There's nothing on TV.;
;;;I take a bite out of the instant ramen noodles.;I take a bite out of the instant ramen noodles.;
;;;...\| it tastes dry.;...\| it tastes dry.;
;;;An empty plate.;An empty plate.;
;;;I take a bite out of the toast.;I take a bite out of the toast.;
;;;I take a bite out of a chicken nugget.;I take a bite out of a chicken nugget.;
;;;I don't feel like eating.;I don't feel like eating.;
;;;I take a sip of the milk.;I take a sip of the milk.;
;;;I take a bite out of a grape.;I take a bite out of a grape.;
;;;I take a bite out of the egg.;I take a bite out of the egg.;
;;;...\| it tastes nice.;...\| it tastes nice.;
;;;Felix;Felix;
;;Felix;"I've been getting a lot of weird DMs from some of
the girls here, they're quite disturbing actually ...";"I've been getting a lot of weird DMs from some of
the girls here, they're quite disturbing actually ...";
;;Felix;Nice trumpet dude.;Nice trumpet dude.;
;;;I probably shouldn't leave while I have school ...;I probably shouldn't leave while I have school ...;
;;;"The door is locked.
I think this is the janitor's closet.";"The door is locked.
I think this is the janitor's closet.";
;;;Use key;Use key;
;;;Not yet;Not yet;
;;;The locker is locked.;The locker is locked.;
;;;Hannah;Hannah;
;;Hannah;You see that guy over there?;You see that guy over there?;
;;;Yeah?;Yeah?;
;;;Nope;Nope;
;;Hannah;He is probably the hottest guy in the entire school ...;He is probably the hottest guy in the entire school ...;
;;Hannah;"He asked me if I had a spare pencil in class
yesterday, ME out of all people!";"He asked me if I had a spare pencil in class
yesterday, ME out of all people!";
;;Hannah;Stop acting stupid ...;Stop acting stupid ...;
;;Hannah;I think he might like me ...;I think he might like me ...;
;;;Can you help me?;Can you help me?;
;;Hannah;Huh? Uhmm sure.;Huh? Uhmm sure.;
;;;I need toilet paper;I need toilet paper;
;;Hannah;"Is there none in the men's restroom?\|
Give me a second ...";"Is there none in the men's restroom?\|
Give me a second ...";
;;Hannah;Here ya go.;Here ya go.;
;;;I'm too busy right now, I should talk to her later.;I'm too busy right now, I should talk to her later.;
;;;I probably shouldn't go in there.;I probably shouldn't go in there.;
;;;This is the men's restroom.;This is the men's restroom.;
;;;"This is the women's restroom.\.
Probably shouldn't enter here...";"This is the women's restroom.\.
Probably shouldn't enter here ...";
;;;There's a trumpet in the locker.;There's a trumpet in the locker.;
;;;The locker is empty.;The locker is empty.;
;;Haven;Looks like I arrived faster than you did!;Looks like I arrived faster than you did!;
;;Haven;"Have you talked to the students here? They're
all so interesting in their own ways ...";"Have you talked to the students here? They're
all so interesting in their own ways ...";
;;Haven;...\| Oh! Do you want to \c[1]save\c[0] your thoughts?;...\| Oh! Do you want to \c[1]save\c[0] your thoughts?;
;;Haven;Alright!;Alright!;
;;Haven;Okay, let me know if you change your mind.;Okay, let me know if you change your mind.;
;;Haven;"If you happen to get lost here, or don't know
what to do ...";"If you happen to get lost here, or don't know
what to do ...";
;;Haven;Then talk to me, I'll do my best to help you out!;Then talk to me, I'll do my best to help you out!;
;;Haven;You know I try my best to always help ...;You know I try my best to always help ...;
;;Haven;Hi! Do you want my help?;Hi! Do you want my help?;
;;;\c[1]Save\c[0];\c[1]Save\c[0];
;;;What do I do?;What do I do?;
;;Haven;"A basketball?
It probably belongs in the gym, right?";"A basketball?
It probably belongs in the gym, right?";
;;Haven;"You found a trumpet?
Maybe someone lost it ...";"You found a trumpet?
Maybe someone lost it ...";
;;Haven;"I think there's a music class in this school.
You could check there!";"I think there's a music class in this school.
You could check there!";
;;Haven;Jeffery gave you keys to the janitor's closet?;Jeffery gave you keys to the janitor's closet?;
;;Haven;"If I remember correctly, the closet should be
to the left!";"If I remember correctly, the closet should be
to the left!";
;;Haven;"You helped Mika out with her drawing? That's so
nice of you!";"You helped Mika out with her drawing? That's so
nice of you!";
;;Haven;"She even gave you a CD? That's lovely!
Maybe there's a CD player you can use to play it?";"She even gave you a CD? That's lovely!
Maybe there's a CD player you can use to play it?";
;;Haven;"Oh, you got the toilet paper?\!
You should give it to that poor guy!";"Oh, you got the toilet paper?\!
You should give it to that poor guy!";
;;Haven;He must be suffering in there ...;He must be suffering in there ...;
;;Haven;...\. You found toilet paper?;...\. You found toilet paper?;
;;Haven;"Uhmm ...\| That's nice!
I'm not sure how I can help you with that ...";"Uhmm ...\| That's nice!
I'm not sure how I can help you with that ...";
;;Haven;"You should probably fill that cup with water, like
Jeffery asked!";"You should probably fill that cup with water, like
Jeffery asked!";
;;Haven;"There should be a kettle filled with water in
the janitor's closet, right?";"There should be a kettle filled with water in
the janitor's closet, right?";
;;Haven;How nice of you to help Jeffery out!;How nice of you to help Jeffery out!;
;;Haven;"You should maybe give him the cup though, he
sounded pretty stressed out ...";"You should maybe give him the cup though, he
sounded pretty stressed out ...";
;;Haven;Jeffery gave you a tea bag? That's so kind of him!;Jeffery gave you a tea bag? That's so kind of him!;
;;Haven;"I think I saw a small girl drinking a cup of tea
earlier, maybe she would appreciate it?";"I think I saw a small girl drinking a cup of tea
earlier, maybe she would appreciate it?";
;;Haven;Unless you want to drink it yourself, of course!;Unless you want to drink it yourself, of course!;
;;Haven;"The last time I saw her, she was heading
towards the courtyard.";"The last time I saw her, she was heading
towards the courtyard.";
;;Haven;"Vee gave you her poetry book?
I didn't know she'd like poetry!";"Vee gave you her poetry book?
I didn't know she'd like poetry!";
;;Haven;"It's so nice to see you helping others, and
listening to what they have to say!";"It's so nice to see you helping others, and
listening to what they have to say!";
;;Haven;"I think the people in the library would really
appreciate some good poetry!";"I think the people in the library would really
appreciate some good poetry!";
;;Haven;"There's no toilet paper in the stalls?\.
Hmmm ...";"There's no toilet paper in the stalls?\.
Hmmm ...";
;;Haven;"I suppose there would be no harm in asking a girl
to check if there's any in the women's restroom ...";"I suppose there would be no harm in asking a girl
to check if there's any in the women's restroom ...";
;;Haven;"...\| What, you want me to check?\.
I can't do everything for you, you know!";"...\| What, you want me to check?\.
I can't do everything for you, you know!";
;;Haven;"I heard there was someone stuck in the boys
restroom, maybe you should check it out!";"I heard there was someone stuck in the boys
restroom, maybe you should check it out!";
;;Haven;"I can’t imagine how horrible it would be to be
stuck there!";"I can’t imagine how horrible it would be to be
stuck there!";
;;Haven;Have you talked to Jeffrey yet?;Have you talked to Jeffrey yet?;
;;Haven;"He's in one of the classrooms, and was looking
pretty stressed out!";"He's in one of the classrooms, and was looking
pretty stressed out!";
;;Haven;"Have you checked out the gym? I heard someone
lost something there ...";"Have you checked out the gym? I heard someone
lost something there ...";
;;Haven;"It might be worth exploring a bit, talking to
some of the students and maybe even helping!";"It might be worth exploring a bit, talking to
some of the students and maybe even helping!";
;;Haven;Let me know if you need my help!;Let me know if you need my help!;
;;Haven;Looks like school's done for today!;Looks like school's done for today!;
;;;Save;Save;
;;;Bruno;Bruno;
;;Bruno;"\etalk[37]Hey Penny, what's with the ... \|uhh\|
pan on your head?";"\etalk[37]Hey Penny, what's with the ... \|uhh\|
pan on your head?";
;;;Penny;Penny;
;;Penny;\etalk[36]What about it?;\etalk[36]What about it?;
;;Bruno;\etalk[37]I just haven't seen anyone wear a pan before ...;\etalk[37]I just haven't seen anyone wear a pan before ...;
;;Penny;"\etalk[36]I'm trying to start a new trend here! I think it
could really catch on.";"\etalk[36]I'm trying to start a new trend here! I think it
could really catch on.";
;;;Panny;Panny;
;;Panny;"\etalk[36]Just wait, you'll see everyone wearing one soon!\.
I'm even gonna call myself Panny now!";"\etalk[36]Just wait, you'll see everyone wearing one soon!\.
I'm even gonna call myself Panny now!";
;;Bruno;\etalk[37]Mhmm.\. Sure.;\etalk[37]Mhmm.\. Sure.;
;;;Mika;Mika;
;;Mika;\etalk[9]And a little of this, and some of that ...;\etalk[9]And a little of this, and some of that ...;
;;Mika;\etalk[9]Ugh ...\. that doesn't look right ...;\etalk[9]Ugh ...\. that doesn't look right ...;
;;;What are you doing?;What are you doing?;
;;Mika;\etalk[9]Oh, I'm just finishing up something I'm working on.;\etalk[9]Oh, I'm just finishing up something I'm working on.;
;;;What is it?;What is it?;
;;;I'll leave you to it;I'll leave you to it;
;;Mika;"\etalk[9]...\| Don't judge, but I was making my own fan art
of my favorite K-pop group, Stray Kats ...";"\etalk[9]...\| Don't judge, but I was making my own fan art
of my favorite K-pop group, Stray Kats ...";
;;Mika;"\etalk[9]Actually\. I could really use some feedback about
the colors,\. do you think you could help?";"\etalk[9]Actually\. I could really use some feedback about
the colors,\. do you think you could help?";
;;Mika;\etalk[9]Really? Thank you so much!;\etalk[9]Really? Thank you so much!;
;;Mika;\etalk[9]Ah, alright! That's fine!;\etalk[9]Ah, alright! That's fine!;
